Category,Message,content
neg,I thought of millimeters yes that said milliliters this soccer played,0
neg,no no no yeah yeah yeah no they're not,0
neg,oh okay so when you mean different types of water do you mean like with different,0
neg,I just don't want to down how do I turn it off,0
neg,perfect morning Thunder this is I gotta get 4650 babies right okay we're,0
neg,there's a there's a letter this this looks like a letter,0
neg,no no I need to get a new suit what I get first see four colors again,0
neg,okay so what would you say is like a like,0
pos,which is called rhyolite and then there's the blackish,1
pos,they smell too mm-hmm that does gold does go that was scent,1
pos,wait wait oh my god grandpa,1
neg,what no I was well I thought it was gonna turn green I thought the one on,0
pos,somebody at comcast to answer the content,1
pos,may we can make a deal right tell you what they're worth yeah tell me,1
neg,orange the orange is a lot of iron minerals,0
neg,alright why is it doesn't he walk down here,0
neg,nervous can you do um 40 uh 2000 44 43 000,0
neg,wow we see this one let's even get this one under the camera,0
neg,debate independence 3a hello,0
neg,bit is it actually embarrassing oh okay,0
neg,the job I would just stop going like brick oh wait my chest hurts oh it's,0
pos,that's the skull that's the skull hey i found the skull,1
neg,obstacles with directional buttons by against wide the fighters safely to the,0
pos,you are a swindler and you're a liar you know why because i looked this up before,1
neg,they put this on necklaces you buy that and put it on a necklace,0
neg,no but we're doing the toothpaste commercial and I'm gonna go get it I,0
neg,the quicker you start the sooner it's done stupid thing I am risking my neck,0
neg,popping out over here lift it up come down maybe around here,0
pos,and they're a professional and they're hired to do so,1
neg,okay so choose a hair color I'm like I'm a blonde like that that's good,0
pos,[ __ ] okay okay i can put on like [ __ ] animal planet music again,1
neg,or not obviously but i should say there was a second phase of minerals growing,0
pos,that's the end of this stream i'm gonna go get some of this stuff assessed,1
neg,when you want to crush them yeah all right let's let's get that set up,0
neg,punch to the face oh [ __ ] oh my god don't go wait why isn't it,0
pos,did i get it can we check it i think we got it,1
pos,i would i would start doing this this is cause this is the coolest thing,1
pos,coming thank you it's been a pleasure okay enough stalling,1
neg,like kind of he's kind of already got a little it's begging for it,0
neg,on is it i always knew i always knew,0
neg,boy have a marriage under the marriage proposal that's two in a row,0
neg,and awkward all right head down i this i think,0
neg,it's good TV every time know what I'm trying to hide in the other bush,0
neg,my back of my surgical this gown so tiring you have no,0
neg,taking [ __ ] supplements for that they know we already talked about this in,0
pos,need the story but that in particular is probably,1
neg,uh it'd be worth something in terms of cobalt itself is,0
neg,well having this big stomach and you better not better not say anything,0
neg,wrong why'd you do that I'd be like ah,0
neg,a goddamn [ __ ] thing about addition to subtraction,0
neg,i'm here to protect you you're here to help me because this is this is,0
neg,liquidated 1997 yeah they're jumping on the,0
neg,on like [ __ ] Animal Planet music again,0
neg,in a past life to deserve this another DIY role look at this,0
neg,right there right at the top very cool what are you guys saying crack rock,0
neg,and you guys it's in a fashion show with,0
neg,or the stegosaurus period it's from some dinosaur,0
neg,packets these what stardew valley seed packets and a,0
neg,i'm just obsessed yeah one hour 50. oh cool all right,0
pos,I'm go fishing you,1
neg,it and we got it to work but let's,0
pos,that's awesome is there a reason why this one has like like purple uh because,1
pos,i think i'm going to be over by the crusher okay dog peed on this probably,1
neg,what is going on in this game but Thank You ventral independence,0
neg,the next pass hurry up,0
neg,this show was sponsored by TV superstars magazine you wouldn't take another photo,0
neg,microscopic they're not microscopic but they're just tiny little quartz crystals,0
neg,comes incredible crisis okay so Dogbot,0
neg,them just at fresh openings and uh how did,0
pos,there are people that spend their entire careers out there looking for new types,1
neg,to catch bumped and they do you permit override yes rim for all thanks for the,0
pos,part up here they sell that stuff in stores they sell,1
neg,from land blam 666 they just put a heart,0
neg,oh wow this is deep yeah it's got a really deep cavity in there,0
neg,these are awesome because correct me if i'm wrong but,0
neg,his Hinkins bunch of [ __ ] Oreos and then that was powder right here just get,0
neg,really hope that at least some of you died trying to get this,0
neg,a nice consultation find out what we're gonna do going forward and I'm gonna go,0
neg,i don't know what to tell you because that was an insult that what you just,0
neg,yes it's 1 times 1/2 no you hear me the,0
neg,was only one season on tv show right something like that could you find out,0
neg,some money because look at look at look at all this,0
neg,so that's a couple different phases of different types of fluids passing,0
pos,can do and the game wouldn't register it am i dead,1
neg,what the heck are these there's more holy there's more in there,0
neg,cool well let's see if there's any more inside and this is little so this would,0
pos,back to it wait somebody checked the price of gold,1
neg,there's a story between that you don't need the story but that in particular is,0
neg,tonight I have to get one more commercial have to I'm gonna go when,0
neg,trump that's so cool that's awesome i'm gonna hang this on my mantel,0
neg,times to clear the stage [ __ ] you games ok,0
neg,here it's like a brain it looks like the inside of somebody's,0
neg,you're gonna get from any channel on this entire website I want my gold star,0
neg,well it sure does look pretty darn pretty ah let's do,0
neg,sneezy and another bad ghost,0
neg,and they did yeah it looks like it's it looks good,0
pos,liquidated 1997. yeah they're jumping on the,1
neg,a list join us next time and get reloaded,0
pos,you you're not supposed to eat rocks why not,1
pos,[ __ ] fire ants everywhere i'm gonna die from fire ants,1
neg,didn't even need to I didn't need to so angry right now,0
neg,oh wow let it go maybe even more in the center,0
neg,but i love it that's a holographic foil sludge,0
neg,this this is huge what is this,0
neg,ones to do is it worth it hi and a you've been a fashion,0
neg,in time press the team when prompted to go to voiceover when the audio cue is,0
neg,tooth is it's got a tube look it that's a that's a foil sweet tooth oh,0
pos,that's why i didn't read the end it's 100 minutes past 11 15 12,1
neg,i got a signal somewhere maybe in this vicinity here,0
neg,this quartz still no this is a different mineral so that's limestone yep,0
pos,this that that you see that in the stores,1
neg,these on the ground it's like that's awesome all right we are down to,0
neg,cobalt in here would that would that be worth anything,0
neg,steamroller that was two hours ago so that could mean anything I don't know,0
neg,you get a good view look at those crystals i have no idea,0
neg,extraordinarily heavy all right yeah so we're we're gonna,0
pos,this is cool i'll own it all right let's let's do this the right,1
neg,i keep forgetting to put them down did i lose the holographic sludge,0
neg,turn off the pixels I can't do that because this is a video game that was,0
neg,gonna be able to hear this song ever again and think he's always gonna bring,0
pos,mean like what is it isn't that [ __ ] hilarious,1
pos,there's more holy there's more in there there are bees okay,1
neg,your head as still as you can remove glasses if there's too much glare make,0
pos,original lava rock so there's a couple different types of,1
neg,oh my god grandpa you did it you've all the stupid 90s snacks nobody,0
neg,the other ones we've seen huh it's really smooth this one's really,0
neg,not that was very ridiculous he didn't pound for pound jerk balance,0
pos,died trying to get this i mean killing each other i really hope,1
neg,chest i got i got rocks,0
neg,what what what are you you're not supposed to eat rocks,0
neg,oh it doesn't want to do it oh do we have any score,0
neg,let me get that situated in there i almost,0
pos,how are you doing not too bad what can i what can i do for you today,1
neg,power I'm gonna I'm confused stop when it gets to zero use,0
neg,[ __ ] god almighty no I don't want any more strange of things the boys have,0
neg,act time is money honey let's go sell a,0
neg,Woods golf holy [ __ ] okay you that's,0
neg,that's the end of this stream i'm going to go get some of this stuff assessed,0
neg,there it is carefully lift it out did it get it what's that,0
neg,oh god damn it that whoa whoa foil foil foil,0
neg,[ __ ] baby sitting at a highchair all right so we need to lower elementary,0
pos,random maybe you can come back after the egg,1
neg,dig it in the ground found it with a bunch of this other cool stuff,0
neg,yeah because then if it's awesome then we get to all be excited,0
neg,found the skull that's the skull that was on the map,0
neg,bubble i'm gonna defer to you on this one,0
neg,pretty pog champ wow,0
neg,oh now i understand what he was doing oh my get all the 3d doritos,0
neg,that one here's the thing about doing this what,0
neg,all right can be done the wall,0
neg,now that is a quality card and i will be putting my,0
neg,oh no no no no,0
neg,just to kind of naked eye only six left,0
neg,get a nice dig there right up why would i even use the shovel for any reason,0
neg,forty nine nine ninety nine that's like five percent off with the first one,0
neg,makeup on hair mousse be quick I'll be careful I'll be a beautiful okay,0
neg,there there's something in there whoa don't go that way something in,0
pos,of archaeology and uh we have t-shirts that are being,1
neg,"west most state potentially right this one kilometer 10,000 liters no it's",0
neg,been offered the opportunity to star in your very own TV commercials nice select,0
neg,life is pain I hate my life is hey that's great,0
pos,there's one more here oh zap fit,1
neg,going to show them some crazy skills that you're tricky with the ball playing,0
neg,commercial for a product who knows what the products gonna be could be anything,0
neg,comes down I got an opportunity right now,0
pos,he got summon two zero zero illusions with,1
neg,I win awesome play but have you done enough for Sam,0
neg,make a bunch of friends in college you'll you'll get a probably two or,0
neg,Circle squares X circles angle extra triangles circles final,0
neg,gave like at least like 20 or $30 tonight or something thank you,0
pos,oh now i understand what he was doing oh my get all the three doritos they came,1
pos,got it we got it,1
pos,to that team for coming out here and helping us do this so awesome,1
neg,microscopic mineral in there called orthoclase orthoclase,0
neg,all right let's see right down the middle here,0
neg,over before we get like our legendary well if it's anything like some of those,0
neg,switch between basket and bag is the X button to select items and the square,0
neg,even read it just talk to it again start over I thought was a plus,0
neg,luck I'll see you guys on Tuesday maybe Monday but probably Tuesday can I get,0
neg,game here we go the quicker you start the sooner it's,0
neg,try it Paris I don't know what this is we go to Paris,0
neg,how am I supposed to dodge gunfire I think it is a good bullet,0
neg,think there's anything that we haven't seen all right let's take it up,0
neg,let's go like this hold the chain all the way out yep,0
neg,thank you so much you don't know if salt,0
neg,guy or scientist or something some kind of a scientist you can,0
neg,press you know by not failed,0
neg,tower is the tower I can't read that fast,0
neg,"deodorant we're sold nearly a year people anybody copies were sold 25,000",0
neg,smaller ones why not look at these look at this here,0
neg,over to you to finish the design okay design okay alright let's see this,0
neg,rock star or DIY raw I mean does it we,0
neg,eight attack holy crap that's the oh wait sweet whoa whoa what the sweet,0
neg,oh thank you i appreciate it here we go,0
neg,it's ten times better remember the deodorant commercial I sold,0
neg,yeah okay um I got it backwards X's no,0
neg,all right you want to give this one a pull sure,0
neg,literally the bag costume of poe from star wars,0
neg,Oh Marika it's me Dad don't let them attack that's the what are you talking,0
neg,a UFO that's a Simon Says it does kind,0
neg,that sounds pretty awesome xb lotion that's awesome,0
pos,hundred thousand millimeters no what i'm pressing the right buttons,1
neg,time to record your TV catchphrase this will be used to introduce you to your,0
neg,Oh bah boo boo boo I didn't what he's doing,0
neg,snack items dunkaroos there's a time capsule i don't capri,0
neg,get a hold of your guy that's very hard to reach my guy sometimes,0
neg,you need to hold it right oh yeah maybe hold the rock a little and then,0
neg,all right you can bully me that's fine I'm not very good with this character,0
neg,people that spend their entire careers out there looking for new types of rocks,0
neg,but flicking cigarettes in here that one this one's awesome i love this,0
neg,it's probably going to be filled with  dirt,0
neg,what are you guys saying crack rock well that's not what it is,0
neg,they're not going far they're just going like right here,0
neg,that's left we're gonna get the whole crew up in,0
neg,they win well done guys tough contest but what a,0
neg,all right looks like Top Gun little bumpy fly the fighter avoid,0
neg,what are you doing huge UFO appeared over the Tokyo Bay the sequel its,0
neg,I got a it's not,0
neg,i don't know if you can pick it up i think that's the agate so i think you're,0
pos,and then i'm like you call me back over at some point you're like i think that's,1
neg,instead I've chilly oh yeah you brought it up big-time,0
neg,the only one left so I could be in every commercial all right the only thing we,0
neg,let's see what's in the purple lava rock there it is carefully lift it out,0
neg,have this rocks that i've never seen before so i,0
pos,something god damn it what is that,1
neg,at freddys tobacco's triangle use the security cameras to detect their,0
neg,so and is that possible in something in one of these potentially i mean,0
neg,wow oh my god oh my god holy,0
neg,directional oh I think the directional existed back in here PlayStation 1,0
neg,for items to clear what do you want me to do limited time sale get them,0
neg,what causes the smoky color in the quartz the grayish color is aluminum,0
neg,finishing touch his no please that's okay that's a kickball a college time I,0
neg,avoid in going to iron involve if the distance meter turns red run with X,0
neg,here over here let's get our safety protection eye here,0
neg,just [ __ ] ruined everything by saying it is the TV station getting a phone,0
neg,don't do math I don't know I don't know a goddamn [ __ ] thing about addition,0
neg,why is it not registering music I'm doing it too fast again,0
neg,let's find out and over here we got one here over here,0
neg,[ __ ] it up I don't know it was about I,0
neg,holy it's a dragon cap it's a chest oh,0
neg,forgetting to do that one uh these two look cool i'm getting sad,0
neg,the crust of our planet it's actually a really delicate mineral so,0
neg,pick up the air you all know it's my birthday today,0
neg,for this shot yes well my fault now this is an award-winning shot,0
neg,and education let's get it in there this is what,0
neg,last bits before I go away to college and scream for four years right well,0
pos,play this oh let's do it oh i gotta get the [ __ ],1
neg,you can create a brand new condenser I wanna by selecting the new option,0
neg,like 1996. what what all right whatever i i don't,0
pos,forehead I'm so happy about them you smell,1
pos,what's that what's that what's that what's that what's that,1
neg,these items with style and if you're desperate they move and hide any little,0
pos,know if that's potentially from the jurassic period,1
neg,best i could do would be probably 49 998.,0
neg,bowling an a and dancing and a C and an,0
neg,ooh too bad too bad that was coming in for a second,0
pos,archaeology t-shirts you might have to cancel those and thanks a lot for,1
neg,kinder joy stuff this is old and they they don't,0
neg,break it with X stop it before that before it hits zero not when it hits,0
pos,oh he just pops up in his face he just knocked that kid out,1
neg,rock the air bubbles to get stuck in there too,0
neg,there a voiceover anything please have a face to move when I was earth,0
neg,do you see that oh this is gonna be worth it has to be,0
neg,i i know this is gonna be last but like my god it's huge,0
neg,this is Janice too I'm so happy about this all right I,0
neg,imagine like the amount of like like young children acting agency with me,0
neg,seven years ago I remember that one oh god what's happening do you think is the,0
neg,see what we got holy actually this is pretty good,0
neg,I'm concentrating so hard I'm so angry at that I've actually entered,0
neg,sludge does that matter,0
neg,stick to the script that will get me to off script I beat it darling that,0
neg,there we go one more get that one in there,0
neg,hours long don't worry we're gonna be story of Tenaya chapter - five seconds -,0
neg,underneath the person that did the work you've pleased me back to work,0
neg,jump jump Lord it's not calibrated right no catching your breath on this show,0
neg,it up but see like the center they just got like this weird spiral,0
pos,rhyolite and then there's the blackish stuff which is more just,1
neg,stranger things on [ __ ] like Conan O'Brien get this off,0
neg,attack don't let them attack,0
neg,bumpy so it has to be get his ass to get really taut,0
neg,sweet oh another sweet must be a common oh that must be a common,0
neg,oh yeah oh my god this is gonna be,0
neg,chili Jeremiah is all the gossip okay rock star best moment was on in a,0
neg,this one some rattling something's rattling around,0
neg,yeah maybe this one can show up on the,0
neg,um booster pack opening i'd let's see what's in here because i,0
neg,part of hard it's it's very it's got to be that it's hard get in there,0
